거래일자,종가,시가,고가,저가,거래량,거래대금,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas
20080102,84600,86600,87000,84100,583683,49650020900,00,0.00,N,5,-2600,
20080103,84600,84000,84900,83500,201599,16978122300,00,0.00,N,3,0,
20080104,84300,84600,85400,83300,223130,18845268300,00,0.00,N,5,-300,
20080107,83200,82900,83700,81900,278368,23041305300,00,0.00,N,5,-1100,
20080108,82900,82100,84600,82100,210410,17564813700,00,0.00,N,5,-300,
20080109,84000,82100,84800,81500,324136,27059101300,00,0.00,N,2,1100,
20080110,83400,83700,84700,83200,379757,31804765900,00,0.00,N,5,-600,
20080111,81500,83700,84500,80700,650489,53122030600,00,0.00,N,5,-1900,
20080114,79600,80000,80700,78900,608356,48416110300,00,0.00,N,5,-1900,
20080115,77400,79600,79800,76300,782632,60365175700,00,0.00,N,5,-2200,
20080116,76500,76500,77200,75100,643841,48880369700,00,0.00,N,5,-900,
20080117,75800,76500,77500,74800,455027,34431708400,00,0.00,N,5,-700,
20080118,75300,74800,75800,73400,950540,70965347900,00,0.00,N,5,-500,
20080121,74300,74900,75000,72300,624844,45931254300,00,0.00,N,5,-1000,
20080122,73000,72200,73000,71200,560987,40470194400,00,0.00,N,5,-1300,
20080123,74000,74200,75900,73000,654936,48896020200,00,0.00,N,2,1000,
20080124,74800,74600,76200,74500,402355,30383666200,00,0.00,N,2,800,
20080125,77300,76000,78000,75700,758125,58490783700,00,0.00,N,2,2500,
20080128,76000,76500,78300,75600,439821,33804143339,00,0.00,N,5,-1300,
20080129,78300,77500,78500,76800,610554,47627116300,00,0.00,N,2,2300,
20080130,76600,77900,78500,75500,723979,55672096900,00,0.00,N,5,-1700,
20080131,77700,77000,77800,75800,619282,47811563200,00,0.00,N,2,1100,
20080201,76000,77700,78500,75300,641344,48820303700,00,0.00,N,5,-1700,
20080204,76000,75500,76700,75200,508903,38611325600,00,0.00,N,3,0,
20080205,75700,76000,76600,74800,374739,28242683600,00,0.00,N,5,-300,
20080211,75200,74500,75500,74200,275145,20606469600,00,0.00,N,5,-500,
20080212,74500,75200,75700,74100,335018,24922887300,00,0.00,N,5,-700,
20080213,72200,74300,74700,72200,781353,56772442600,00,0.00,N,5,-2300,
20080214,74000,72500,75200,72500,535487,39543537900,00,0.00,N,2,1800,
20080215,73300,73200,73400,72300,473240,34493297400,00,0.00,N,5,-700,
20080218,73000,73800,74700,72700,293632,21601674000,00,0.00,N,5,-300,
20080219,72400,73700,73800,71900,522944,37919199900,00,0.00,N,5,-600,
20080220,69500,72000,72200,69500,960898,67694886400,00,0.00,N,5,-2900,
20080221,69700,70300,70900,69600,487063,34143714400,00,0.00,N,2,200,
20080222,69700,70200,70600,69000,403871,28104273400,00,0.00,N,3,0,
20080225,71200,70400,71600,69700,341120,24229468500,00,0.00,N,2,1500,
20080226,70300,71700,72000,70000,309934,21905308700,00,0.00,N,5,-900,
20080227,71000,71000,71500,70700,324210,23047589400,00,0.00,N,2,700,
20080228,72900,71700,73600,71700,718828,52437340800,00,0.00,N,2,1900,
20080229,72900,73800,74100,72900,583298,42867855700,00,0.00,N,3,0,
20080303,71400,71500,71800,70900,430133,30673041900,00,0.00,N,5,-1500,
20080304,71400,71400,71700,70600,322660,22984678150,00,0.00,N,3,0,
20080305,69500,69900,70200,69300,873198,60828196500,00,0.00,N,5,-1900,
20080306,70400,69500,70400,69500,358024,25072502000,00,0.00,N,2,900,
20080307,69400,69000,69600,68300,369237,25448662000,00,0.00,N,5,-1000,
20080310,68300,68100,69100,68100,569182,38901905800,00,0.00,N,5,-1100,
20080311,69100,68000,69400,67500,751680,51781163400,00,0.00,N,2,800,
20080312,69200,70900,71200,69200,430002,30202737000,00,0.00,N,2,100,
20080313,68000,68900,69600,68000,365051,24987324200,00,0.00,N,5,-1200,
20080314,68600,69000,69600,67600,405175,27915787100,00,0.00,N,2,600,
20080317,68100,68900,69200,67800,555196,38026779700,00,0.00,N,5,-500,
20080318,69300,69200,71100,68300,665136,46575053700,00,0.00,N,2,1200,
20080319,71300,71100,72000,70600,571508,40861901500,00,0.00,N,2,2000,
20080320,72300,70800,73400,70800,791985,57211939900,00,0.00,N,2,1000,
20080321,72500,73100,73800,72100,521971,38011627300,00,0.00,N,2,200,
20080324,73200,72800,73400,72500,303830,22198436800,00,0.00,N,2,700,
20080325,74400,73700,75200,73100,727102,54246017900,00,0.00,N,2,1200,
20080326,74500,74500,74700,74100,478676,35628472400,00,0.00,N,2,100,
20080327,75000,74100,75700,73600,608634,45558915200,00,0.00,N,2,500,
20080328,77000,75000,77200,74800,1268902,97494275000,00,0.00,N,2,2000,
20080331,77200,76400,77900,76400,653723,50466860500,00,0.00,N,2,200,
20080401,76400,76600,77200,75400,471574,35975199200,00,0.00,N,5,-800,
20080402,78700,77300,79200,77200,1121172,87920377700,00,0.00,N,2,2300,
20080403,78300,78700,79900,78300,662725,52189133600,00,0.00,N,5,-400,
20080404,77600,78300,78300,76700,379150,29368335000,00,0.00,N,5,-700,
20080407,77000,77000,77800,76400,439281,33774920700,00,0.00,N,5,-600,
20080408,76600,76800,77200,75800,403564,30889367900,00,0.00,N,5,-400,
20080410,77800,77100,78500,76700,546883,42545559000,00,0.00,N,2,1200,
20080411,81000,78100,81400,78000,1245938,99869968600,00,0.00,N,2,3200,
20080414,82700,80100,83500,80100,897162,73986196500,00,0.00,N,2,1700,
20080415,82700,82700,83600,81200,597223,49457065600,00,0.00,N,3,0,
20080416,82000,82200,82400,81400,452737,37101046700,00,0.00,N,5,-700,
20080417,82200,82500,82700,81100,478171,39244260660,00,0.00,N,2,200,
20080418,82200,82400,82600,81500,607251,49870002800,00,0.00,N,3,0,
20080421,83200,82700,84400,82100,1176983,98318697924,00,0.00,N,2,1000,
20080422,85000,83600,85400,83400,935944,79530733231,00,0.00,N,2,1800,
20080423,83200,84200,85600,83000,546740,45890933200,00,0.00,N,5,-1800,
20080424,82400,83200,84000,81800,350828,29087733200,00,0.00,N,5,-800,
20080425,85500,82500,85600,82500,613406,52094897100,00,0.00,N,2,3100,
20080428,86300,86100,87500,85500,368936,32013733000,00,0.00,N,2,800,
20080429,89000,87000,91000,85700,1033181,92081004500,00,0.00,N,2,2700,
20080430,91900,89200,92200,89000,831342,75618060200,00,0.00,N,2,2900,
20080502,94800,92900,95500,92700,1151955,109084336200,00,0.00,N,2,2900,
20080506,94300,95300,95700,93200,500272,47164954800,00,0.00,N,5,-500,
20080507,95100,94100,96500,94100,389608,37226633000,00,0.00,N,2,800,
20080508,93600,94100,96500,93300,377841,35707895500,00,0.00,N,5,-1500,
20080509,93600,94500,94600,91600,387405,35993991200,00,0.00,N,3,0,
20080513,96000,93500,96000,92900,446542,42374136400,00,0.00,N,2,2400,
20080514,95400,95900,96500,93600,371502,35252878400,00,0.00,N,5,-600,
20080515,98200,94700,98300,94700,480174,46594626600,00,0.00,N,2,2800,
20080516,97000,97500,99200,96400,317544,30975016400,00,0.00,N,5,-1200,
20080519,94400,97300,97600,93200,623320,58714937100,00,0.00,N,5,-2600,
20080520,92000,94400,94400,91400,604669,55806297600,00,0.00,N,5,-2400,
20080521,91900,91000,93500,90500,481231,44272037800,00,0.00,N,5,-100,
20080522,91500,90900,92800,88900,429456,38855448900,00,0.00,N,5,-400,
20080523,91200,91400,91900,89800,331420,30159613800,00,0.00,N,5,-300,
20080526,90300,90200,91300,88400,327783,29373128500,00,0.00,N,5,-900,
20080527,90600,90600,91200,89300,245910,22189655080,00,0.00,N,2,300,
20080528,87600,90100,90600,87500,558545,49193001660,00,0.00,N,5,-3000,
20080529,90300,88200,90800,88000,483086,43448189800,00,0.00,N,2,2700,
20080530,91800,91100,92000,90300,416260,38084634200,00,0.00,N,2,1500,
20080602,89300,92000,92500,89100,425880,38296374200,00,0.00,N,5,-2500,
20080603,86400,88500,89300,86100,573206,49733068800,00,0.00,N,5,-2900,
20080604,87700,86400,88600,86200,353428,30990330224,00,0.00,N,2,1300,
20080605,88400,87300,88600,86400,328926,28737502385,00,0.00,N,2,700,
20080609,87200,85600,88200,85600,299694,26111362606,00,0.00,N,5,-1200,
20080610,85700,87000,87200,84100,467254,39773452800,00,0.00,N,5,-1500,
20080611,86600,86500,87100,85000,338036,29090740400,00,0.00,N,2,900,
20080612,84000,85400,85900,84000,446681,37775387400,00,0.00,N,5,-2600,
20080613,85700,84600,86500,83300,517657,44199561400,00,0.00,N,2,1700,
20080616,90000,87500,90100,86300,776978,69422332500,00,0.00,N,2,4300,
20080617,91000,90900,91300,89900,537412,48814452900,00,0.00,N,2,1000,
20080618,91000,91000,92200,89700,350653,31929853984,00,0.00,N,3,0,
20080619,90000,90000,90000,88900,254368,22800067900,00,0.00,N,5,-1000,
20080620,89200,90100,90600,87000,371474,33000183100,00,0.00,N,5,-800,
20080623,88100,88000,88600,87500,387196,34091940200,00,0.00,N,5,-1100,
20080624,88400,87300,89200,87100,306697,27187783100,00,0.00,N,2,300,
20080625,89000,88800,89300,87400,297261,26208335800,00,0.00,N,2,600,
20080626,88800,89000,89200,87800,210425,18676562000,00,0.00,N,5,-200,
20080627,85700,87000,87100,84900,530649,45362484000,00,0.00,N,5,-3100,
20080630,84700,84800,85500,83400,399189,33600355600,00,0.00,N,5,-1000,
20080701,82700,83800,84500,81400,694907,57236748750,00,0.00,N,5,-2000,
20080702,81800,83500,83800,80600,366141,30145502620,00,0.00,N,5,-900,
20080703,81500,80800,82300,80400,403055,32779175100,00,0.00,N,5,-300,
20080704,80800,81500,82800,80800,252343,20619402600,00,0.00,N,5,-700,
20080707,81300,80500,82800,79400,330744,26936098800,00,0.00,N,2,500,
20080708,79700,80800,81300,78500,407965,32443822300,00,0.00,N,5,-1600,
20080709,78000,80700,80900,76900,741513,58276329000,00,0.00,N,5,-1700,
20080710,78000,78000,78500,76700,595821,46328058400,00,0.00,N,3,0,
20080711,78900,78600,79600,77000,476394,37422281300,00,0.00,N,2,900,
20080714,78200,78900,79300,77600,314606,24667946300,00,0.00,N,5,-700,
20080715,76400,77700,78000,75600,313656,23986671300,00,0.00,N,5,-1800,
20080716,77000,76200,77900,76000,303282,23384869200,00,0.00,N,2,600,
20080717,77000,78300,78900,77000,274834,21421048000,00,0.00,N,3,0,
20080718,77300,78000,79100,76900,253429,19818186900,00,0.00,N,2,300,
20080721,79800,78300,80400,78200,533862,42534020500,00,0.00,N,2,2500,
20080722,80300,79300,80800,79300,191384,15332722600,00,0.00,N,2,500,
20080723,81800,81000,83300,80500,836919,68549889600,00,0.00,N,2,1500,
20080724,85000,82200,85400,82200,746648,63180444400,00,0.00,N,2,3200,
20080725,84900,84000,85500,83100,468807,39660030900,00,0.00,N,5,-100,
20080728,85800,85200,85800,84100,324158,27545159400,00,0.00,N,2,900,
20080729,86100,84000,86800,82000,705281,59804081100,00,0.00,N,2,300,
20080730,88800,88000,90100,87300,824270,73326381476,00,0.00,N,2,2700,
20080731,88700,90500,90500,87500,511923,45410041400,00,0.00,N,5,-100,
20080801,88000,89000,89200,86700,348366,30635494200,00,0.00,N,5,-700,
20080804,87300,88900,88900,85000,278128,24060353500,00,0.00,N,5,-700,
20080805,87500,86000,88900,86000,412824,36216452900,00,0.00,N,2,200,
20080806,88500,88600,90000,87500,388487,34422952500,00,0.00,N,2,1000,
20080807,88100,89000,90000,87500,460448,40799521200,00,0.00,N,5,-400,
20080808,89500,88400,90800,88100,388190,34897647000,00,0.00,N,2,1400,
20080811,90000,90500,91500,90000,313943,28516718335,00,0.00,N,2,500,
20080812,88800,91500,91500,88800,195066,17487622000,00,0.00,N,5,-1200,
20080813,89300,88900,89800,88000,221758,19740298800,00,0.00,N,2,500,
20080814,88900,89500,90600,88500,325256,29151410500,00,0.00,N,5,-400,
20080818,88500,88900,88900,86500,398327,35028340000,00,0.00,N,5,-400,
20080819,88200,88400,88500,86400,271716,23741497400,00,0.00,N,5,-300,
20080820,88600,88300,89800,88000,305939,27171946600,00,0.00,N,2,400,
20080821,89000,90000,90000,88200,227122,20222726800,00,0.00,N,2,400,
20080822,90000,89700,90000,87200,349984,31095241200,00,0.00,N,2,1000,
20080825,89100,90000,90500,88400,261346,23331909600,00,0.00,N,5,-900,
20080826,90900,88000,90900,87800,506441,45556595800,00,0.00,N,2,1800,
20080827,90500,91000,91500,88700,365354,33045434000,00,0.00,N,5,-400,
20080828,89900,90000,90300,87700,305207,27144774700,00,0.00,N,5,-600,
20080829,91000,90900,92000,90400,395731,36179351900,00,0.00,N,2,1100,
20080901,91200,90000,92300,89700,445531,40690723600,00,0.00,N,2,200,
20080902,92000,91200,92100,90700,470689,43145965200,00,0.00,N,2,800,
20080903,90600,91100,94000,89600,477514,43867308000,00,0.00,N,5,-1400,
20080904,91600,91700,92000,89000,246300,22320983250,00,0.00,N,2,1000,
20080905,91000,90800,91900,89100,381759,34753727118,00,0.00,N,5,-600,
20080908,93900,91600,93900,91600,545743,50902270300,00,0.00,N,2,2900,
20080909,90000,93500,93700,89800,545547,49369389500,00,0.00,N,5,-3900,
20080910,86300,89900,90000,85100,1132219,97998385000,00,0.00,N,5,-3700,
