거래일자,종가,시가,고가,저가,거래량,거래대금,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas
20080102,10880,11180,11200,10840,18047200,198265755310,00,0.00,N,5,-240,
20080103,10920,10760,11060,10640,19346500,209866693000,00,0.00,N,2,40,
20080104,10780,10920,10960,10760,17997350,194977314000,00,0.00,N,5,-140,
20080107,10380,10360,10480,10340,39787200,413869898000,00,0.00,N,5,-400,
20080108,10320,10380,10480,10320,24783700,256975161000,00,0.00,N,5,-60,
20080109,10500,10340,10580,10260,23865450,249094927000,00,0.00,N,2,180,
20080110,10320,10440,10580,10320,31551350,328324333632,00,0.00,N,5,-180,
20080111,10320,10360,10520,10220,23425150,242787215440,00,0.00,N,3,0,
20080114,10500,10280,10520,10280,22167000,231683806000,00,0.00,N,2,180,
20080115,10640,10660,10820,10420,40283950,430111863815,00,0.00,N,2,140,
20080116,10600,10400,10800,10360,49448101,523546624496,00,0.00,N,5,-40,
20080117,11200,10740,11200,10720,42213900,465011937520,00,0.00,N,2,600,
20080118,11340,11040,11440,10960,35586400,400441241656,00,0.00,N,2,140,
20080121,11280,11220,11460,11160,25085050,283949118977,00,0.00,N,5,-60,
20080122,10720,11000,11160,10720,43213650,470735614000,00,0.00,N,5,-560,
20080123,10800,11040,11120,10760,36303850,395009917510,00,0.00,N,2,80,
20080124,11120,11020,11240,10980,27902000,310495156139,00,0.00,N,2,320,
20080125,11220,11120,11400,11080,26107500,293634947000,00,0.00,N,2,100,
20080128,10780,11060,11300,10720,27213200,297509929000,00,0.00,N,5,-440,
20080129,11160,10920,11200,10880,21471250,237846392000,00,0.00,N,2,380,
20080130,11420,11340,11620,11200,35769400,410249594367,00,0.00,N,2,260,
20080131,11900,11580,11940,11420,46767101,551751903640,00,0.00,N,2,480,
20080201,11720,12020,12100,11560,28352100,332893735024,00,0.00,N,5,-180,
20080204,12240,12040,12240,12000,46921551,571537763088,00,0.00,N,2,520,
20080205,12260,12100,12360,12020,23207550,283446016000,00,0.00,N,2,20,
20080211,11680,11820,12020,11680,28841250,340165265432,00,0.00,N,5,-580,
20080212,11460,11700,11760,11460,18513050,214361384148,00,0.00,N,5,-220,
20080213,11480,11760,11760,11400,21558700,248109532000,00,0.00,N,2,20,
20080214,11860,11660,11860,11600,28837050,340136348940,00,0.00,N,2,380,
20080215,11720,11720,11800,11500,20001000,232389585000,00,0.00,N,5,-140,
20080218,11540,11640,11740,11420,18412450,212665289890,00,0.00,N,5,-180,
20080219,11740,11600,11740,11540,16641000,194193572385,00,0.00,N,2,200,
20080220,11560,11740,11800,11520,18171450,211486185752,00,0.00,N,5,-180,
20080221,11880,11580,11920,11580,21269600,251071635000,00,0.00,N,2,320,
20080222,11640,11640,11740,11600,15574600,181451216263,00,0.00,N,5,-240,
20080225,11620,11560,11640,11500,15236300,176552435722,00,0.00,N,5,-20,
20080226,11420,11620,11720,11380,12393550,142624211000,00,0.00,N,5,-200,
20080227,11560,11460,11720,11380,13882800,159982216183,00,0.00,N,2,140,
20080228,11600,11680,11700,11460,14536100,168297721000,00,0.00,N,2,40,
20080229,11200,11540,11540,11200,22988800,259632304000,00,0.00,N,5,-400,
20080303,10980,10900,11040,10840,22136800,242441643060,00,0.00,N,5,-220,
20080304,11040,11000,11220,11000,16975550,188480597000,00,0.00,N,2,60,
20080305,11240,11020,11320,11020,21097000,236665324809,00,0.00,N,2,200,
20080306,11240,11260,11500,11160,18850600,213274160475,00,0.00,N,3,0,
20080307,11000,11000,11100,10940,20272750,223412341000,00,0.00,N,5,-240,
20080310,11080,10960,11220,10900,17898000,198485006959,00,0.00,N,2,80,
20080311,11100,10960,11180,10940,31354900,346060736000,00,0.00,N,2,20,
20080312,11200,11320,11400,11160,24374050,274251456278,00,0.00,N,2,100,
20080313,11000,11020,11180,10940,30835150,339750224548,00,0.00,N,5,-200,
20080314,10940,11100,11140,10860,22180950,244422214662,00,0.00,N,5,-60,
20080317,11000,11060,11180,10900,40741250,449590410000,00,0.00,N,2,60,
20080318,11360,11040,11440,11040,42480400,479856467828,00,0.00,N,2,360,
20080319,11820,11640,11860,11600,35035300,412242764208,00,0.00,N,2,460,
20080320,12120,11700,12120,11580,32334250,384914137000,00,0.00,N,2,300,
20080321,12140,12180,12200,12040,21574750,262112589000,00,0.00,N,2,20,
20080324,11980,12080,12120,11900,10591650,127152759640,00,0.00,N,5,-160,
20080325,12200,12220,12300,12100,21415850,261764566000,00,0.00,N,2,220,
20080326,12240,12380,12380,12180,15949800,195771863000,00,0.00,N,2,40,
20080327,12100,12120,12160,11920,20926650,251774891724,00,0.00,N,5,-140,
20080328,12260,12100,12360,12060,25343000,310567984000,00,0.00,N,2,160,
20080331,12460,12340,12580,12240,29338650,365933103000,00,0.00,N,2,200,
20080401,12720,12560,12820,12360,33978600,431592323000,00,0.00,N,2,260,
