거래일자,종가,시가,고가,저가,거래량,거래대금,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas
20080102,2319,2405,2409,2283,42349,97591340,00,0.00,N,5,-66,
20080103,2299,2319,2319,2291,9332,21506830,00,0.00,N,5,-19,
20080104,2334,2319,2346,2260,18708,43067480,00,0.00,N,2,35,
20080107,2291,2271,2315,2248,9732,22053265,00,0.00,N,5,-43,
20080108,2244,2244,2311,2228,24551,55352915,00,0.00,N,5,-47,
20080109,2181,2244,2275,2118,57971,125923385,00,0.00,N,5,-62,
20080110,2157,2204,2228,2149,37245,80797065,00,0.00,N,5,-23,
20080111,2149,2185,2201,2149,20396,43987575,00,0.00,N,5,-7,
20080114,2134,2149,2189,2118,12307,26218560,00,0.00,N,5,-15,
20080115,2000,2201,2201,1980,72052,146529410,00,0.00,N,5,-133,
20080116,1870,2047,2047,1834,109227,202891635,00,0.00,N,5,-129,
20080117,1889,1925,1945,1850,59589,112411330,00,0.00,N,2,19,
20080118,1897,1854,1921,1823,38301,71806665,00,0.00,N,2,7,
20080121,1886,1925,1925,1862,10230,19183075,00,0.00,N,5,-11,
20080122,1807,1960,1960,1787,61938,112171230,00,0.00,N,5,-78,
20080123,1787,1811,1862,1787,30338,54725880,00,0.00,N,5,-19,
20080124,1834,1886,1886,1795,35074,64030085,00,0.00,N,2,47,
20080125,1960,1913,2047,1826,44226,86454805,00,0.00,N,2,125,
20080128,1949,1996,1996,1889,6588,12600210,00,0.00,N,5,-11,
20080129,1996,2047,2047,1925,38474,75904100,00,0.00,N,2,47,
20080130,1968,2086,2086,1913,12970,25743925,00,0.00,N,5,-27,
20080131,1964,2086,2086,1889,3407,6495235,00,0.00,N,5,-3,
20080201,1893,2043,2043,1889,18512,35147460,00,0.00,N,5,-70,
20080204,1964,1929,2000,1878,32375,62024815,00,0.00,N,2,70,
20080205,1964,1984,1984,1917,4817,9364620,00,0.00,N,3,0,
20080211,1945,1960,2000,1913,10849,21161600,00,0.00,N,5,-19,
20080212,1964,2000,2035,1889,10537,20388635,00,0.00,N,2,19,
20080213,1937,1968,1968,1905,14217,27532510,00,0.00,N,5,-27,
20080214,1952,1949,1960,1897,34606,66959950,00,0.00,N,2,15,
20080215,1921,1952,1964,1893,6306,12068490,00,0.00,N,5,-31,
20080218,1941,1960,1960,1889,16595,31836870,00,0.00,N,2,19,
20080219,1925,1913,1937,1886,83408,158990635,00,0.00,N,5,-15,
20080220,1925,1937,1937,1889,23610,45225320,00,0.00,N,3,0,
