거래일자,종가,시가,고가,저가,거래량,거래대금,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas
20080102,49908,51444,51828,48948,1542846,76886697000,00,0.00,N,5,-1439,
20080103,47701,49716,49716,47509,2041358,97780430900,00,0.00,N,5,-2207,
20080104,46069,47701,47797,45589,4437964,204460894500,00,0.00,N,5,-1631,
20080107,45781,45109,45781,44677,2280596,102949916550,00,0.00,N,5,-287,
20080108,45253,45589,45781,45061,1778807,80594939650,00,0.00,N,5,-527,
20080109,45301,44773,45397,44389,1567506,70369087600,00,0.00,N,2,47,
20080110,45109,45397,45781,44821,1779025,80472203700,00,0.00,N,5,-191,
20080111,44197,45589,45781,44149,1686370,75330546200,00,0.00,N,5,-911,
20080114,43334,43861,44437,43238,1754815,76742652850,00,0.00,N,5,-863,
20080115,43478,43670,43670,42806,1635509,70715752450,00,0.00,N,2,143,
20080116,43382,42902,43718,42758,1874367,81233866350,00,0.00,N,5,-95,
20080117,46645,43861,46837,43670,2680850,122191156460,00,0.00,N,2,3263,
20080118,47413,46069,47845,45301,2874197,135383251150,00,0.00,N,2,767,
20080121,47125,47317,48085,46213,1791194,84710403700,00,0.00,N,5,-287,
20080122,45829,45445,46933,44533,2244505,102256521750,00,0.00,N,5,-1295,
20080123,47029,46549,47029,45781,1562570,72828061200,00,0.00,N,2,1199,
20080124,46645,47509,48181,46549,1684953,79833742090,00,0.00,N,5,-383,
20080125,46357,46645,47557,45157,1737439,80218730500,00,0.00,N,5,-287,
20080128,45637,45109,46069,45109,1134253,51670131900,00,0.00,N,5,-719,
20080129,47509,46021,47941,46021,2220288,104856093300,00,0.00,N,2,1871,
20080130,47029,48085,48276,46165,1389146,65723762200,00,0.00,N,5,-479,
20080131,48276,45973,48756,45397,2611738,125275752400,00,0.00,N,2,1247,
20080201,48660,49236,49236,47317,1164978,56081603360,00,0.00,N,2,383,
20080204,48660,48181,49524,48181,1039072,50783040600,00,0.00,N,3,0,
20080205,49044,49428,49716,48468,1164851,57242678300,00,0.00,N,2,383,
20080211,47413,47701,47941,46597,1651721,78063841950,00,0.00,N,5,-1631,
20080212,46885,46645,47413,46501,878680,41065344900,00,0.00,N,5,-527,
