거래일자,종가,시가,고가,저가,거래량,거래대금,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas
20080102,73327,71601,73987,71570,730885,53619393800,00,0.00,N,2,2354,
20080103,76529,73641,76843,72417,696757,52424662800,00,0.00,N,2,3201,
20080104,76561,76906,77063,74866,841961,64039991500,00,0.00,N,2,31,
20080107,75713,72825,76561,72825,510640,37993007400,00,0.00,N,5,-847,
20080108,75839,76278,77691,75839,306147,23474478300,00,0.00,N,2,125,
20080109,78727,76121,78727,76121,766422,59548882000,00,0.00,N,2,2887,
20080110,78946,79103,81552,77628,599135,47511319800,00,0.00,N,2,219,
20080111,75650,77691,78946,75650,309212,23842036600,00,0.00,N,5,-3295,
20080114,75964,74081,76278,74081,419962,31410635800,00,0.00,N,2,313,
20080115,72543,76435,77220,71381,687758,50194450500,00,0.00,N,5,-3421,
20080116,69184,68431,70314,68211,1105178,76314817300,00,0.00,N,5,-3358,
20080117,65292,70000,70314,64821,1537282,101386699900,00,0.00,N,5,-3892,
20080118,71507,63753,71507,63220,950551,64793459100,00,0.00,N,2,6215,
20080121,70565,70000,72009,69090,642750,45339065000,00,0.00,N,5,-941,
20080122,67489,67175,71884,64193,735355,49309842700,00,0.00,N,5,-3076,
20080123,68744,70314,70659,65135,778394,53029180842,00,0.00,N,2,1255,
20080124,70722,70628,71444,69843,668577,47159808100,00,0.00,N,2,1977,
20080125,73547,72197,73893,71570,601104,43966610300,00,0.00,N,2,2825,
20080128,70000,71256,72009,67803,449949,31378991800,00,0.00,N,5,-3547,
20080129,69058,69058,69969,67803,858233,59054217800,00,0.00,N,5,-941,
20080130,60332,70879,70879,60332,991640,63690200900,00,0.00,N,5,-8726,
20080131,62780,58386,64099,57036,2382808,144671200600,00,0.00,N,2,2448,
20080201,62780,63408,65135,60646,1003306,62657658210,00,0.00,N,3,0,
20080204,71570,65480,71570,64978,1163540,79073075236,00,0.00,N,2,8789,
20080205,70157,71162,72605,68776,681931,47562988300,00,0.00,N,5,-1412,
20080211,65888,67489,67803,65637,808658,53519167800,00,0.00,N,5,-4269,
20080212,66233,65888,67771,65511,751322,49812125100,00,0.00,N,2,345,
20080213,65605,67175,67740,65292,447146,29582777500,00,0.00,N,5,-627,
20080214,68431,66861,69215,66861,758426,51887136900,00,0.00,N,2,2825,
20080215,70000,66390,71287,66390,422721,29269805200,00,0.00,N,2,1569,
20080218,69592,70314,71005,68776,290821,20250665700,00,0.00,N,5,-408,
20080219,69058,69686,70471,67457,727865,49878178300,00,0.00,N,5,-533,
20080220,67332,67489,68274,65794,578524,38777642300,00,0.00,N,5,-1726,
20080221,65637,68274,68368,65543,641699,42430440700,00,0.00,N,5,-1695,
20080222,66861,64978,67269,64978,417538,27634721658,00,0.00,N,2,1224,
20080225,69215,67489,69749,67332,569409,39261399200,00,0.00,N,2,2354,
20080226,72040,70000,72197,69843,866831,62103320000,00,0.00,N,2,2825,
20080227,70628,72386,72480,70345,451262,32049415900,00,0.00,N,5,-1412,
20080228,69843,71256,71381,69247,402890,28117129000,00,0.00,N,5,-784,
20080229,67018,69718,69718,67018,841550,56897220200,00,0.00,N,5,-2825,
20080303,63408,64036,65072,62780,1440185,91780925800,00,0.00,N,5,-3609,
20080304,63408,64601,64601,62812,837695,53066397000,00,0.00,N,3,0,
20080305,63126,63408,64193,62498,560327,35479997700,00,0.00,N,5,-282,
20080306,65103,62780,65166,62780,577737,37014782100,00,0.00,N,2,1977,
20080307,62843,63251,63942,62529,500872,31569977400,00,0.00,N,5,-2260,
20080310,61305,62152,64161,61211,818457,51119892960,00,0.00,N,5,-1538,
20080311,61682,60583,62404,59013,589559,36075944000,00,0.00,N,2,376,
20080312,62623,64570,64915,62623,731070,46969421500,00,0.00,N,2,941,
20080313,63942,63502,63942,62278,340062,21404764700,00,0.00,N,2,1318,
20080314,64256,64507,64664,62561,448019,28606032000,00,0.00,N,2,313,
20080317,62278,64256,64256,60709,606733,37523278900,00,0.00,N,5,-1977,
20080318,60363,61996,62278,59798,405767,24600612000,00,0.00,N,5,-1914,
20080319,63722,62090,63722,60928,954948,59552707660,00,0.00,N,2,3358,
20080320,62152,62152,62843,61744,786517,48869751300,00,0.00,N,5,-1569,
20080321,63126,63722,63722,62561,417994,26316606300,00,0.00,N,2,973,
20080324,62341,63565,63628,62341,289263,18162773500,00,0.00,N,5,-784,
20080325,67646,64632,67646,64287,1276683,84871709100,00,0.00,N,2,5304,
20080326,67489,66924,67677,64946,797508,53075948018,00,0.00,N,5,-156,
20080327,69058,67175,69058,66076,812796,55128913750,00,0.00,N,2,1569,
20080328,69686,68431,70910,68368,720417,50365339710,00,0.00,N,2,627,
20080331,72543,71538,73767,70942,907404,65749981354,00,0.00,N,2,2856,
20080401,73798,73767,75242,72637,990847,73144044900,00,0.00,N,2,1255,
20080402,76561,76592,76937,74112,824736,63027335600,00,0.00,N,2,2762,
20080403,74238,75054,75839,73704,746960,55543620292,00,0.00,N,5,-2322,
20080404,71884,74552,74709,71381,770773,55586849300,00,0.00,N,5,-2354,
20080407,73924,72449,74740,72449,501838,37167093900,00,0.00,N,2,2040,
20080408,73139,73924,74709,72480,308807,22701013930,00,0.00,N,5,-784,
20080410,73767,73076,74238,70722,566940,41623585500,00,0.00,N,2,627,
20080411,73673,73798,74426,72323,401565,29442714700,00,0.00,N,5,-94,
20080414,72072,72229,72825,71664,289751,20915291760,00,0.00,N,5,-1600,
20080415,71852,71884,72354,70879,412970,29673403600,00,0.00,N,5,-219,
20080416,68839,72040,72762,68682,852904,59803274861,00,0.00,N,5,-3013,
20080417,68117,70628,71005,65857,1478245,100676542574,00,0.00,N,5,-721,
20080418,69058,69875,70408,64758,1931976,131323390900,00,0.00,N,2,941,
20080421,71884,71570,72825,71099,577182,41585708700,00,0.00,N,2,2825,
20080422,71884,71884,73296,70314,571808,41116717100,00,0.00,N,3,0,
20080423,70408,71884,72386,69372,498349,35584995600,00,0.00,N,5,-1475,
20080424,71162,71475,71475,69686,434674,30722639500,00,0.00,N,2,753,
20080425,72857,71727,73484,71570,440160,32039625400,00,0.00,N,2,1695,
20080428,72197,73547,73610,72135,280120,20308309504,00,0.00,N,5,-659,
20080429,72354,73422,73422,71978,412141,29812289584,00,0.00,N,2,156,
20080430,73139,73139,73139,70879,580269,41900595600,00,0.00,N,2,784,
20080502,74489,75336,76278,72825,675145,50371280600,00,0.00,N,2,1349,
20080506,70628,75180,75305,70628,901151,65399984700,00,0.00,N,5,-3861,
20080507,64350,68211,69686,64256,3371833,223036216500,00,0.00,N,5,-6278,
20080508,64978,64036,66987,62780,1916168,124711347600,00,0.00,N,2,627,
20080509,67206,65480,67552,65292,1082321,72172790200,00,0.00,N,2,2228,
20080513,66233,65197,67269,65197,970204,64447180800,00,0.00,N,5,-973,
20080514,65292,65354,67112,65292,734941,48690645800,00,0.00,N,5,-941,
20080515,64821,64350,65857,63565,845379,55046959300,00,0.00,N,5,-470,
20080516,65260,64821,66547,64821,1080878,71249369500,00,0.00,N,2,439,
20080519,67489,65857,67520,65857,631594,42440783300,00,0.00,N,2,2228,
20080520,66076,67552,68054,65888,527492,35104701300,00,0.00,N,5,-1412,
20080521,65543,66076,66422,64883,419357,27594789800,00,0.00,N,5,-533,
20080522,64978,64664,65292,63534,1173346,75079081404,00,0.00,N,5,-565,
20080523,66547,64978,67269,64915,522780,34765841752,00,0.00,N,2,1569,
20080526,66704,65951,67144,65574,329683,21941764000,00,0.00,N,2,156,
20080527,67457,67144,67583,66704,573379,38574974100,00,0.00,N,2,753,
20080528,65605,67677,67740,64318,1209631,79116632400,00,0.00,N,5,-1852,
20080529,65574,65919,66170,64758,1035408,67786949300,00,0.00,N,5,-31,
20080530,66892,65919,66892,64601,897462,59014410700,00,0.00,N,2,1318,
20080602,65888,66861,66955,65605,540572,35659237200,00,0.00,N,5,-1004,
20080603,64632,65135,65480,63753,758649,49045219200,00,0.00,N,5,-1255,
20080604,63251,63408,63565,62780,1094070,69077147800,00,0.00,N,5,-1381,
20080605,62309,63345,64005,62090,735623,46019813000,00,0.00,N,5,-941,
20080609,60960,59955,61744,59955,572098,34802455000,00,0.00,N,5,-1349,
20080610,58982,60583,61336,58982,637720,38133559200,00,0.00,N,5,-1977,
