거래일자,종가,시가,고가,저가,거래량,거래대금,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas
20100512,114000,119500,121000,112500,9504811,1102428798500,00,0.00,N,5,-5500,
20100513,115500,115500,117000,115000,2184611,253403955500,00,0.00,N,2,1500,
20100514,114000,115000,116500,112000,1769839,202532948500,00,0.00,N,5,-1500,
20100517,107500,112000,113500,107500,2444115,268684665500,00,0.00,N,5,-6500,
20100518,110000,108500,110000,107000,996647,108651537500,00,0.00,N,2,2500,
20100519,109500,109000,110000,107500,852205,92667659500,00,0.00,N,5,-500,
20100520,107500,109500,111000,107500,740106,80650487500,00,0.00,N,5,-2000,
20100524,102500,105000,106000,101500,1219811,126009866000,00,0.00,N,5,-5000,
20100525,98000,100500,101000,95500,1596770,157108140000,00,0.00,N,5,-4500,
20100526,110000,98000,110000,97800,3451763,361915739200,00,0.00,N,2,12000,
20100527,109000,107000,110000,106000,1536027,166362189000,00,0.00,N,5,-1000,
20100528,108000,111000,111000,105500,692635,74978425500,00,0.00,N,5,-1000,
20100531,109000,107500,110000,106000,477955,51965430000,00,0.00,N,2,1000,
20100601,106000,108500,109000,106000,302368,32354324500,00,0.00,N,5,-3000,
20100603,104000,105500,107000,103000,905501,94372192000,00,0.00,N,5,-2000,
20100604,103000,104500,105500,103000,418999,43507909000,00,0.00,N,5,-1000,
20100607,102000,100500,102500,99800,576382,58221182400,00,0.00,N,5,-1000,
20100608,102500,102000,104500,102000,389336,40057721000,00,0.00,N,2,500,
20100609,102000,103000,104000,102000,243579,25047519500,00,0.00,N,5,-500,
20100610,102500,103000,104000,102000,267676,27600083000,00,0.00,N,2,500,
20100611,103000,104000,105000,102500,457232,47250059500,00,0.00,N,2,500,
20100614,101000,103500,104000,100500,770796,78421334500,00,0.00,N,5,-2000,
20100615,100500,101500,101500,100000,475216,47846618500,00,0.00,N,5,-500,
20100616,100500,101500,101500,99900,588117,59038748500,00,0.00,N,3,0,
