거래일자,종가,시가,고가,저가,거래량,거래대금,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas
20190213,15300,15600,15600,14950,3961223,60493081000,00,0.00,N,5,-300,
20190214,16000,15250,16000,15200,2626606,41225176050,00,0.00,N,2,700,
20190215,15650,15800,15850,15600,1276624,20061778200,00,0.00,N,5,-350,
20190218,15750,15700,15800,15650,1034314,16278082700,00,0.00,N,2,100,
20190219,15550,15800,15850,15550,974123,15314593450,00,0.00,N,5,-200,
20190220,15250,15400,15500,15100,2923220,44464223600,00,0.00,N,5,-300,
20190221,15100,15200,15250,15050,883514,13355661650,00,0.00,N,5,-150,
20190222,14850,14950,15000,14750,1546763,22940400350,00,0.00,N,5,-250,
20190225,14900,14900,15050,14850,905856,13539179100,00,0.00,N,2,50,
20190226,14700,14900,14950,14700,890582,13161284950,00,0.00,N,5,-200,
20190227,14800,14650,14850,14500,1573961,23100083250,00,0.00,N,2,100,
20190228,14800,14800,14800,14600,2377878,35093424600,00,0.00,N,3,0,
20190304,14400,14700,14750,14350,1547446,22487957750,00,0.00,N,5,-400,
20190305,14250,14400,14400,14150,1286767,18322053100,00,0.00,N,5,-150,
20190306,14350,14350,14450,14150,1117292,15980837100,00,0.00,N,2,100,
20190307,14200,14400,14450,14150,905411,12912363350,00,0.00,N,5,-150,
20190308,14000,14150,14200,14000,651905,9186031600,00,0.00,N,5,-200,
20190311,14150,13950,14200,13950,663971,9352211650,00,0.00,N,2,150,
20190312,14400,14200,14450,14150,841522,12071273150,00,0.00,N,2,250,
20190313,14550,14300,14550,14250,715885,10332804750,00,0.00,N,2,150,
20190314,14350,14550,14600,14350,1578814,22748840407,00,0.00,N,5,-200,
20190315,14850,14400,14850,14350,3539125,52342726850,00,0.00,N,2,500,
20190318,14950,14900,15000,14750,763184,11381163700,00,0.00,N,2,100,
20190319,14900,15000,15050,14800,995019,14826191262,00,0.00,N,5,-50,
20190320,15000,14800,15000,14750,581438,8656088250,00,0.00,N,2,100,
