거래일자,종가,시가,고가,저가,거래량,거래대금,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas
20081010,45939,47063,47063,40026,13312141,564170491982,00,0.00,N,5,-1124,
20081013,49556,47063,50338,45500,3253980,155311203000,00,0.00,N,2,3616,
20081014,51902,52781,54736,50631,4048888,211211719310,00,0.00,N,2,2345,
20081015,49849,49067,50142,48578,2917882,144234514270,00,0.00,N,5,-2052,
20081016,42421,44620,44913,42421,4032026,175795747997,00,0.00,N,4,-7428,
20081017,37142,42421,42763,36654,6211385,242819551000,00,0.00,N,5,-5278,
20081020,38169,38315,38902,36214,5004250,188928578300,00,0.00,N,2,1026,
20081021,38315,39000,40075,38315,3902549,152696987900,00,0.00,N,2,146,
20081022,37631,37142,40075,35187,3721634,141973908250,00,0.00,N,5,-684,
20081023,35969,34357,36556,34308,3007430,106473507000,00,0.00,N,5,-1661,
20081024,35969,35627,36312,32548,3809888,130630409760,00,0.00,N,3,0,
20081027,39097,35969,39097,34210,3902625,144336853200,00,0.00,N,2,3127,
20081028,36751,37142,37436,35676,5264783,193859920550,00,0.00,N,5,-2345,
20081029,31278,37924,38462,31278,6888123,237946891300,00,0.00,N,4,-5473,
20081030,34210,33233,35481,27563,12634818,415702284950,00,0.00,N,2,2932,
20081031,31278,32304,35383,30447,9982781,320348174500,00,0.00,N,5,-2932,
20081103,32304,30300,32988,29860,7523572,239799708350,00,0.00,N,2,1026,
20081104,34992,32744,35139,32646,6496258,221950895100,00,0.00,N,2,2687,
20081105,35676,36214,37827,34943,6194436,225284048290,00,0.00,N,2,684,
20081106,30398,33330,33428,30398,4852141,153981778450,00,0.00,N,5,-5278,
20081107,31229,28834,32255,28736,4082262,126409874350,00,0.00,N,2,830,
20081110,32842,31327,33428,30838,3206654,102946471550,00,0.00,N,2,1612,
20081111,31962,31962,32793,31327,2195252,70281887950,00,0.00,N,5,-879,
20081112,31375,30984,32157,30789,2135045,67066760550,00,0.00,N,5,-586,
20081113,29763,29567,29763,27661,4081732,117826722270,00,0.00,N,5,-1612,
20081114,31424,31278,31424,30545,2548385,79059824900,00,0.00,N,2,1661,
20081117,31669,30838,33575,29616,4089858,130611952100,00,0.00,N,2,244,
20081118,29421,30838,31180,29421,2757921,83466642350,00,0.00,N,5,-2248,
20081119,28199,29665,29763,28101,2412454,69210985700,00,0.00,N,5,-1221,
20081120,23996,26390,26781,23996,4443365,109123079850,00,0.00,N,4,-4203,
20081121,24436,22578,26537,21161,7030494,163177933050,00,0.00,N,2,439,
20081124,22285,24338,24680,22187,3952566,91243833650,00,0.00,N,5,-2150,
20081125,23458,23800,24631,22530,4894599,115481699400,00,0.00,N,2,1172,
20081126,26977,23751,26977,23751,6352665,166024365900,00,0.00,N,1,3518,
20081127,29323,28443,30740,27661,5592006,161925848340,00,0.00,N,2,2345,
20081128,29518,29812,30593,28736,3341211,99453128000,00,0.00,N,2,195,
20081201,28345,29665,29714,28199,1917212,55626003200,00,0.00,N,5,-1172,
20081202,27368,25804,28639,25804,3648653,100947888500,00,0.00,N,5,-977,
20081203,28639,28394,28932,27563,2685054,76404774500,00,0.00,N,2,1270,
20081204,28541,29665,30447,27759,2205049,64179669600,00,0.00,N,5,-97,
20081205,29763,28345,29958,28297,2167975,63723812850,00,0.00,N,2,1221,
20081208,32255,29909,33233,29616,3046867,95520122650,00,0.00,N,2,2492,
20081209,32451,32548,32744,30838,2577873,82269760400,00,0.00,N,2,195,
20081210,34699,32744,35334,32744,3829117,130944654900,00,0.00,N,2,2248,
20081211,35872,35090,38120,34015,5914936,216120359900,00,0.00,N,2,1172,
20081212,30545,33037,33184,30545,20695492,674458258050,00,0.00,N,5,-5327,
20081215,32255,31766,32695,31571,3583248,115234274120,00,0.00,N,2,1710,
20081216,33379,31718,34015,31131,3470967,112964560890,00,0.00,N,2,1124,
20081217,35432,35334,36067,34210,4566444,161205621700,00,0.00,N,2,2052,
20081218,35432,36165,37191,34601,3103458,112206509450,00,0.00,N,3,0,
20081219,34992,36165,36751,34503,2382372,84713838400,00,0.00,N,5,-439,
20081222,35725,35383,35725,34503,14263642,499448313000,00,0.00,N,2,733,
20081223,33770,34699,35383,32988,2012049,68359300950,00,0.00,N,5,-1954,
20081224,32255,32988,34015,30887,1859426,60561864700,00,0.00,N,5,-1515,
20081226,33379,32695,33819,31913,2918546,93420925086,00,0.00,N,2,1124,
20081229,33721,33184,33721,31522,1044215,34004644100,00,0.00,N,2,342,
20081230,32939,33721,34406,32793,1459467,49193307850,00,0.00,N,5,-781,
20090102,33135,32890,33575,31131,2273352,73731821350,00,0.00,N,2,195,
20090105,37924,35187,38071,34308,4361403,158096609800,00,0.00,N,2,4789,
20090106,39097,38120,39390,38071,3485736,135611490800,00,0.00,N,2,1172,
20090107,39195,39048,40075,38315,3730430,146311407300,00,0.00,N,2,97,
20090108,37338,38609,38706,36751,3343329,124941398700,00,0.00,N,5,-1857,
20090109,36165,37680,38609,36165,3025944,112420275300,00,0.00,N,5,-1172,
20090112,34797,35823,35823,34699,1818169,63903619900,00,0.00,N,5,-1368,
20090113,36018,34454,36507,33721,2260247,80190783050,00,0.00,N,2,1221,
20090114,37875,36556,37875,35578,2190551,81022240450,00,0.00,N,2,1857,
20090115,34406,35676,35969,34406,3493667,123158698250,00,0.00,N,5,-3469,
20090116,34552,34063,34699,32451,3721047,124752484200,00,0.00,N,2,146,
20090119,34797,34699,35578,34650,1765397,61813166770,00,0.00,N,2,244,
20090120,32939,33428,33770,32793,2585824,85641263350,00,0.00,N,5,-1857,
20090121,31375,31278,32206,30545,2850581,89496745900,00,0.00,N,5,-1563,
20090122,32695,33721,33721,32304,2707106,88972775700,00,0.00,N,2,1319,
20090123,31180,31522,32060,30887,1770047,55569565250,00,0.00,N,5,-1515,
20090128,34601,32255,34748,32255,2803164,94836212800,00,0.00,N,2,3421,
20090129,35969,36263,36556,35481,2829959,101973872700,00,0.00,N,2,1368,
20090130,36165,34699,36556,34503,1656851,59275125200,00,0.00,N,2,195,
20090202,34357,35383,36067,34015,1740300,60737700950,00,0.00,N,5,-1808,
20090203,35187,34357,36165,34063,2274252,80225296150,00,0.00,N,2,830,
20090204,34992,35774,36067,34454,2073689,72870557700,00,0.00,N,5,-195,
20090205,33233,34406,34748,33233,2931219,99149665700,00,0.00,N,5,-1759,
20090206,34748,34357,34748,33526,2059308,70474997150,00,0.00,N,2,1515,
20090209,34943,35969,36458,34601,3503099,123776054100,00,0.00,N,2,195,
20090210,35090,35187,35432,34601,1982863,69379371500,00,0.00,N,2,146,
20090211,33770,32939,34063,32842,2798319,93938545900,00,0.00,N,5,-1319,
20090212,31962,32988,33135,31766,5422782,175596958500,00,0.00,N,5,-1808,
20090213,32646,31815,32646,31766,2278278,73532266900,00,0.00,N,2,684,
20090216,31424,31864,32548,31327,3192081,101350057600,00,0.00,N,5,-1221,
20090217,29909,30838,31082,29323,3355489,100744072100,00,0.00,N,5,-1515,
20090218,27857,28736,28834,27857,4781718,135133930750,00,0.00,N,5,-2052,
20090219,27661,27857,28785,27417,4157603,117238517850,00,0.00,N,5,-195,
20090220,26733,27368,27710,25951,2953379,79077796550,00,0.00,N,5,-928,
