거래일자,종가,시가,고가,저가,거래량,거래대금,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas
20211129,76000,82000,85000,73900,8764092,679594959200,00,0.00,N,5,-6000,
20211130,68000,77900,80500,68000,6863151,505360814700,00,0.00,N,5,-8000,
20211201,62700,68400,69400,61900,4481654,287169196300,00,0.00,N,5,-5300,
20211202,68700,61900,72100,61500,7312303,495532935300,00,0.00,N,2,6000,
20211203,66000,67400,70200,65500,3301896,220987108600,00,0.00,N,5,-2700,
20211206,66000,64000,69300,63700,11832989,770954138400,00,0.00,N,3,0,
20211207,65600,66800,68200,65500,2244270,149026490700,00,0.00,N,5,-400,
20211208,64600,66700,67800,64600,2294736,151431734800,00,0.00,N,5,-1000,
20211209,65100,64500,65100,62800,3184427,203522291700,00,0.00,N,2,500,
20211210,63300,64100,64900,63200,1443615,91869679900,00,0.00,N,5,-1800,
20211213,63000,63300,64400,63000,1178159,74768627200,00,0.00,N,5,-300,
20211214,60600,62600,62800,60600,1917405,117337366900,00,0.00,N,5,-2400,
20211215,58200,59500,60900,58000,2260768,133526283200,00,0.00,N,5,-2400,
20211216,56400,59000,59400,56100,2564560,146944972500,00,0.00,N,5,-1800,
20211217,57000,55800,59300,54700,3344436,191853299400,00,0.00,N,2,600,
20211220,58400,56600,60100,55900,2704260,158734327800,00,0.00,N,2,1400,
20211221,60900,58800,61600,58200,2579600,155057479600,00,0.00,N,2,2500,
20211222,65700,61700,65900,61200,4156492,265354586800,00,0.00,N,2,4800,
20211223,64900,65400,65700,63700,2251218,145975126100,00,0.00,N,5,-800,
20211224,65800,65100,67200,65100,1920024,127307081800,00,0.00,N,2,900,
20211227,65200,66300,66600,64000,1205094,78367381900,00,0.00,N,5,-600,
20211228,64800,65400,65400,63900,1100056,70802463200,00,0.00,N,5,-400,
20211229,64500,65300,65800,64500,986784,64049639400,02,0.00,N,5,-300,
20211230,66400,64800,68500,64800,2543077,170441521200,00,0.00,N,2,1900,
20220103,66500,66900,67300,65200,1123222,74487746100,00,0.00,N,2,100,
20220104,70000,66800,70300,65900,3183183,217897361900,00,0.00,N,2,3500,
20220105,67600,69700,70500,67400,2733991,187755614500,00,0.00,N,5,-2400,
20220106,61700,65900,66300,61300,3617004,229698159000,00,0.00,N,5,-5900,
20220107,61000,62600,62600,59700,2312174,141610422700,00,0.00,N,5,-700,
20220110,57500,60400,60800,57400,2262799,132499043700,00,0.00,N,5,-3500,
20220111,57200,58000,59500,56700,1645760,95213980400,00,0.00,N,5,-300,
20220112,59400,57800,60900,57800,2164247,129011200200,00,0.00,N,2,2200,
20220113,58000,59500,59700,57800,1094076,63699031000,00,0.00,N,5,-1400,
20220114,59000,57000,59800,57000,1422881,83031968300,00,0.00,N,2,1000,
20220117,59300,58700,59700,58200,915485,53963230600,00,0.00,N,2,300,
20220118,62900,59900,63900,59800,2986345,186641911600,00,0.00,N,2,3600,
20220119,62300,62200,63700,61000,1539452,96005305200,00,0.00,N,5,-600,
20220120,62500,62600,63500,61500,1170461,72925264500,00,0.00,N,2,200,
20220121,60800,61800,62800,59900,1728551,105610795700,00,0.00,N,5,-1700,
20220124,59200,60100,60700,59100,1084225,64564165100,00,0.00,N,5,-1600,
20220125,56700,59500,59700,56600,1874355,107706967800,00,0.00,N,5,-2500,
20220126,57200,57300,58500,56700,1164928,67054922000,00,0.00,N,2,500,
20220127,54800,57400,57700,54800,1770666,98303810700,00,0.00,N,5,-2400,
20220128,55000,55100,55300,51500,2728488,146821086800,00,0.00,N,2,200,
20220203,56200,56100,57000,55600,1411048,79279907800,00,0.00,N,2,1200,
20220204,56900,55600,57800,55300,1314467,74832184400,00,0.00,N,2,700,
20220207,58200,57200,59000,55500,1446356,82410354200,00,0.00,N,2,1300,
20220208,58600,58500,59700,57400,1209806,71028602500,00,0.00,N,2,400,
20220209,59800,59300,60300,58600,1110182,66048255900,00,0.00,N,2,1200,
20220210,57100,60400,60600,57100,1864904,109019971200,00,0.00,N,5,-2700,
20220211,56800,56300,57800,56000,832830,47543372600,00,0.00,N,5,-300,
20220214,54600,56000,56300,54400,1353063,74525174200,00,0.00,N,5,-2200,
20220215,51700,54800,55100,51600,2274891,119467899600,00,0.00,N,5,-2900,
20220216,54700,53300,54800,52800,1144186,61548284300,00,0.00,N,2,3000,
20220217,54200,54500,55400,53200,1342654,73110633400,00,0.00,N,5,-500,
20220218,54200,53000,54600,52900,648501,34931711400,00,0.00,N,3,0,
20220221,55800,53100,56100,52900,787309,43309915300,00,0.00,N,2,1600,
20220222,55100,54400,56200,54400,813183,45037714900,00,0.00,N,5,-700,
20220223,57700,55900,58200,55900,1475855,84092385000,00,0.00,N,2,2600,
20220224,55300,56900,57600,54500,1230603,68873162900,00,0.00,N,5,-2400,
20220225,57300,56400,57700,55500,1603780,91029151800,00,0.00,N,2,2000,
20220228,55800,57000,57300,55200,8654968,483589313800,00,0.00,N,5,-1500,
20220302,54100,55600,55700,54000,1322952,72155934800,00,0.00,N,5,-1700,
20220303,55100,54600,55100,54100,1417086,77342384300,00,0.00,N,2,1000,
20220304,53000,54600,54700,53000,1117022,59693540900,00,0.00,N,5,-2100,
20220307,50700,52000,52200,50300,1604719,81776912400,00,0.00,N,5,-2300,
20220308,49250,49450,50700,49050,1394411,69171540250,00,0.00,N,5,-1450,
20220310,51900,51200,52200,50800,1299240,67103188600,00,0.00,N,2,2650,
20220311,51400,51700,52900,51000,796207,41040463600,00,0.00,N,5,-500,
20220314,52200,51900,52400,51400,742360,38502289800,00,0.00,N,2,800,
20220315,51300,51700,52100,51100,538160,27699968000,00,0.00,N,5,-900,
20220316,51300,51900,52200,50500,755341,38679306600,00,0.00,N,3,0,
20220317,52600,52200,53500,52200,1044778,55243346200,00,0.00,N,2,1300,
20220318,53500,52800,53500,52500,2849280,152113669500,00,0.00,N,2,900,
